GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Djibouti;2357;2427;2498;2572;2648;2726;2806;2889;2974;3061;3151;3248;3267;3311;3411;3432;3473;3508;3502;3601;3727;3752;3701;3734;3700;3693;3708;3701;3676;3668;4357;4510;4529;4602;4381;4350;4538;3779;3632;3555;3500;3526;3531;3461;3795;3704;3616;3532;3364;3165;3050;2811;2736;2505;2440;2315;2181;2127;2092;2103;2079;2090;2114;2150;2202;2240;2315;2399;2502;2590;2665;2767;2807;2903;3016;3139
Dominica;1856;1884;1912;1940;1969;1998;2028;2058;2088;2119;2151;2175;2199;2224;2249;2274;2299;2325;2351;2378;2404;2431;2458;2486;2513;2541;2570;2599;2628;2657;2686;2857;3048;3280;3458;3520;3705;3737;4106;3299;3739;4176;4355;4496;4778;4878;5266;5720;6271;6291;6661;6709;6833;6926;7009;7148;7359;7510;7936;8035;8091;8131;7972;8554;8799;8764;9172;9713;10425;10289;10375;10333;10149;10011;10207;10503
Dominican Republic;1737;1766;1797;1828;1859;1891;1923;1956;1990;2024;2058;2242;2358;2262;2321;2390;2550;2627;2681;2612;2655;2514;2851;2943;3044;2586;2848;2859;2784;3004;3234;3484;3816;4172;4306;4407;4595;4710;4712;4807;4988;5081;5062;5176;5085;4857;4903;5169;5104;5645;5278;5222;5657;5949;5973;6188;6514;6918;7283;7649;7955;7974;8307;8162;8147;8772;9568;10233;10408;10363;11075;11241;11391;11790;12505;12837
East Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;2237;2210;2300;2557;2551;2525;2783;3034;3388;3383;3416;3393;3742;3750;3975;3997;4058;4151;4178;4302;4473;4474;4594;4590;4786;5108;5102;5226;5364;5501;5723;5866;6035;6580;6752;6891;7330;7560;7844;8023;8145;8231;8083;7689;7777;7880;7887;7189;7739;7540;7542;7685;7672;7652;7805;7811;7781;7951;8045;7511;7444;7593;7753;7814;8300;8582;8802;8840;9244;9143;9311;9882;10233;10541;10774;10996
Egypt;1642;1642;1572;1587;1607;1645;1663;1682;1700;1718;1736;1738;1818;1868;1781;1741;1736;1780;1908;1947;2052;2105;2103;2128;2443;2509;2447;2377;2460;2614;3055;3090;3140;3095;3105;3193;3552;3745;3953;4262;4580;4553;4757;5044;5303;5539;5658;5774;5886;5933;6020;5974;6134;6212;6360;6553;6774;7036;7207;7528;7807;7955;8013;8134;8328;8556;8990;9467;9974;10267;10615;10629;10683;10731;10792;11031
El Salvador;2598;2506;2669;2871;2671;2526;2532;3143;3930;3504;3414;3387;3540;3683;3616;3688;3855;3933;3891;3935;3963;3966;4297;4333;4585;4671;4819;4906;4882;4863;4810;4878;5033;5119;5312;5448;5498;5659;5867;5618;5064;4692;4463;4436;4459;4478;4434;4457;4449;4408;4454;4545;4811;5086;5318;5589;5626;5817;5994;6165;6266;6345;6469;6595;6693;6907;7148;7391;7450;7180;7237;7352;7442;7515;7613;7776
Equatorial Guinea;470;472;474;476;477;479;481;483;485;486;488;507;517;531;553;562;577;588;598;624;678;732;806;915;1041;1169;1203;1268;1296;1242;1193;1081;933;971;1029;1181;1325;1331;1436;1407;1349;1301;1290;1248;1169;1240;1154;1161;1155;1108;1050;1005;1310;1406;1586;1803;2907;7037;8437;10273;11768;18637;21586;23856;31942;36200;33468;36788;40143;35880;34431;35150;35282;32654;30783;31087
Eritrea;758;761;764;767;771;774;777;780;783;786;789;798;806;838;823;851;863;841;852;858;885;899;912;927;937;974;998;1039;1068;1080;1037;1054;1068;1061;1035;965;948;931;864;940;942;943;925;966;913;783;831;915;891;858;850;939;1040;1175;1416;1438;1542;1623;1603;1550;1446;1511;1491;1389;1351;1332;1272;1246;1088;1095;1083;1139;1180;1157;1140;1129
Eritrea and Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estonia;3703;3635;3568;3503;3438;3375;3313;3682;4161;4546;4926;4866;5094;5228;5392;5752;6195;6213;6565;6379;6861;7128;7204;6936;7728;8069;8368;8647;9066;9109;9721;9885;9844;10573;10839;10829;11297;11525;11778;11690;11676;11753;12010;12358;12470;12540;13014;13144;13392;13601;13260;12008;10523;9870;9870;10464;11245;12709;13705;13723;14877;15894;16974;18359;19665;21651;24047;26066;24743;21137;21710;23576;24761;25254;25865;26812
Ethiopia;569;570;571;572;573;574;575;576;577;578;579;586;593;617;607;629;638;622;631;636;657;668;678;690;698;727;746;777;800;810;778;792;803;799;780;729;716;704;655;713;715;717;704;736;696;597;635;700;682;657;653;585;516;564;562;578;630;630;591;604;623;656;647;615;679;738;796;863;931;986;1081;1171;1240;1336;1432;1520
Faeroe Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falkland Is (Malvinas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;2123;2177;2233;2289;2348;2407;2468;2531;2595;2661;2729;2798;2869;2942;3016;3093;3171;3252;3334;3419;3505;3508;3513;3613;3671;3471;3382;3744;3953;3971;4384;4590;4834;5287;5319;5245;5291;5506;5510;6066;5843;6066;5560;5208;5528;5193;5545;5160;5204;5583;5694;5488;5751;5792;6002;6073;6291;6087;6108;6594;6444;6548;6745;6804;7149;7169;7253;7128;7129;6959;7098;7228;7303;7502;7735;7925
Finland;5439;5612;5622;6247;6228;5832;6228;6287;6695;7011;7198;7738;7914;7877;8470;8802;8971;9302;9276;9751;10560;11286;11560;11858;12389;13006;13269;13477;13726;15058;16245;16564;17722;18804;19273;19409;19268;19261;19608;20918;21965;22279;22873;23351;23926;24630;25133;26086;27282;28735;28599;26761;25726;25414;26301;27303;28210;29884;31423;32743;34517;35327;35834;36461;37783;38700;40115;42016;42122;38455;39425;40251;39489;38788;38569;38923
France;4821;4666;4700;4691;3594;4423;5909;6228;6988;7367;7914;8301;8446;8622;9006;9453;9907;10442;10681;10911;11642;12168;12767;13235;13969;14514;15158;15759;16321;17339;18185;18891;19570;20486;20997;20851;21661;22270;22928;23647;23962;24186;24753;25188;25497;25917;26453;26963;28101;28942;29476;29707;30033;29719;30303;30823;31141;31756;32764;33707;34774;35197;35333;35371;36090;36395;37001;37641;37505;36215;36745;37328;37227;37309;37218;37599
French Guiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gabon;577;585;593;601;609;617;625;633;641;650;658;711;769;831;899;971;1050;1134;1226;1324;1431;1638;1874;2144;2454;2807;2679;3219;3423;3836;4656;5793;6180;8349;18287;18169;21774;20699;22649;24502;27736;27631;24800;26740;25707;23142;18203;16383;15076;19870;19358;19995;18868;19101;19298;19738;19933;20545;20729;18413;17630;17579;17126;17105;16822;17069;16059;16693;15800;15238;15982;16590;17252;17580;17912;18627
Gambia;959;962;965;969;972;975;978;981;985;988;991;1025;1034;1050;1084;1092;1106;1119;1120;1154;1196;1353;1298;1268;1312;1412;1597;1602;1575;1691;1478;1597;1660;1684;1956;1778;1923;1957;1799;2028;1772;1703;1861;1586;1494;1323;1347;1371;1463;1510;1517;1510;1513;1515;1475;1448;1439;1468;1477;1527;1564;1606;1506;1559;1617;1552;1521;1528;1566;1615;1667;1545;1584;1608;1555;1644
Georgia;1766;1733;1701;1670;1639;1609;1579;1756;1984;2168;2349;2320;2429;2493;2571;2743;2954;2962;3130;3041;3271;3404;3445;3322;3707;3877;4128;4347;4505;4685;5212;5303;5415;5727;6192;6611;6979;7425;7941;8485;8825;9236;9363;9703;10158;10580;9633;9670;10135;9379;8018;6282;3435;2410;2181;2298;2621;2951;3072;3185;3269;3451;3664;4096;4346;4716;5116;5760;5900;5642;5938;6322;6702;6930;7233;7474
Germany;9711;10310;10407;10722;11120;8284;4084;4504;5258;6112;7251;7884;8561;9252;9926;10998;11751;12385;12884;13759;14808;15317;15872;16221;17100;17838;18262;18311;19254;20409;21218;21695;22497;23461;23662;23630;24904;25678;26444;27515;27765;27846;27645;28227;29135;29851;30514;30986;31906;32706;31476;32844;33221;32689;33375;33843;34008;34578;35254;35931;36953;37517;37458;37167;37614;37901;39352;40693;41199;38975;40632;42080;42959;42887;43444;44053
Ghana;1861;1818;1775;1733;1692;1652;1435;1232;1287;1416;1682;1704;1634;1816;1996;1822;2167;1936;2092;2145;2246;2267;2316;2334;2322;2290;2230;2208;2177;2240;2455;2527;2396;2458;2559;2190;2072;2085;2226;2130;2090;1960;1766;1628;1710;1740;1778;1813;1865;1909;1920;1965;1985;2024;2036;2066;2110;2148;2199;2244;2273;2306;2350;2409;2479;2558;2652;2751;2907;2934;3091;3446;3685;3873;3953;4099
Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;4510;3792;3188;2673;2243;1881;2776;3524;3589;3723;3811;4098;4076;4581;4673;4978;5355;5656;5860;6011;6219;6708;6920;7598;8197;8931;9414;9822;10458;11466;12366;13227;14818;15373;14801;15594;16413;16765;17707;18184;18373;18270;18286;18309;18776;19345;19657;19575;20486;21229;21085;21528;21442;20906;21147;21426;21905;22739;23535;24152;25030;25884;26625;28303;29604;29768;31399;32408;32197;30780;29190;26675;24991;24159;24502;25430
Greenland;2452;2530;2609;2692;2776;2864;2954;3047;3143;3242;3344;3532;3730;3940;4161;4394;4641;4901;5176;5466;5773;6097;6439;6800;7181;7583;8009;8457;8932;9432;9961;11000;11470;12088;12655;12652;13356;14522;15396;16124;17449;17429;16479;16832;15754;16134;17089;17848;18680;19780;17371;17295;16391;15569;16500;17117;17372;17613;18955;19182;20499;20699;20426;20278;21086;21846;23031;23858;24413;23789;24966;25730;26213;26688;27216;27763
Grenada;1607;1614;1621;1628;1635;1642;1650;1657;1664;1672;1679;1718;1758;1799;1841;1884;1927;1972;2018;2065;2113;2162;2212;2263;2316;2370;2425;2481;2539;2597;2658;2852;3074;3354;3588;3724;4106;4401;4820;4964;4949;4945;4959;4888;5019;5253;5756;6341;6583;7057;7488;7646;7565;7283;7401;7522;7785;8117;8633;9489;9650;9433;9734;10627;10529;11892;11380;12042;12116;11273;11178;11219;11046;11273;11400;11593
Guadeloupe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;4140;4263;4222;2766;2624;2608;3014;2971;2989;3172;3131;3083;3055;3075;3041;3024;3202;3284;3336;3397;3377;3421;3441;3661;3722;3815;3955;4044;4320;4441;4606;4766;5012;5242;5460;5450;5730;6047;6215;6373;6475;6361;5953;5662;5534;5345;5198;5225;5269;5314;5315;5383;5514;5598;5691;5836;5873;5992;6149;6239;6313;6305;6389;6390;6429;6475;6658;6906;6960;6826;6849;6957;6985;7063;7181;7279
Guernsey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;594;596;599;601;603;605;607;609;611;613;615;643;654;669;699;713;730;745;755;786;806;846;893;831;870;914;917;929;940;950;966;977;979;1003;1053;1076;1159;1162;1170;1149;1166;1149;1147;1137;1117;1085;1077;1085;1122;1139;1128;1097;1068;1059;1046;1049;1061;1089;1107;1130;1139;1161;1200;1194;1200;1210;1212;1203;1230;1194;1185;1200;1216;1213;1179;1225
Guinea-Bissau;839;839;838;838;837;837;837;836;836;836;835;867;900;935;1096;1027;1140;1184;1190;1175;1208;1260;1308;1332;1440;1511;1577;1639;1659;1708;1756;1676;1775;1770;1829;1852;1803;1644;1825;1827;1500;1730;1790;1605;1631;1679;1626;1562;1585;1553;1564;1607;1588;1585;1599;1632;1781;1855;1305;1289;1330;1329;1287;1266;1273;1299;1300;1313;1326;1340;1368;1457;1391;1362;1363;1386
Guyana;3615;3679;3745;3812;3880;3949;4020;4091;4164;4238;4314;4207;4103;4001;3902;3805;3711;3619;3529;3442;3356;3426;3383;2902;3164;3427;3535;3618;3593;3788;3905;3996;3846;3883;4172;4509;4556;4409;4304;4206;4270;4337;3775;3535;3378;3485;3485;3551;3454;3312;3231;3432;3703;4001;4331;4533;4872;5153;5041;5166;5071;5163;5197;5124;5270;5140;4837;5143;5208;5344;5542;5808;6054;6336;6545;6816
Haiti;2155;2177;2199;2222;2244;2267;2261;2274;2271;2270;2281;2278;2367;2252;2394;2256;2408;2222;2351;2196;2292;2154;2312;2116;2024;2003;1949;1869;1902;1922;1970;2076;2130;2204;2322;2249;2421;2412;2507;2666;2848;2727;2588;2559;2515;2469;2414;2346;2314;2290;2242;2208;1873;1799;1621;1672;1710;1726;1733;1748;1734;1688;1657;1637;1557;1562;1576;1607;1600;1628;1518;1580;1603;1648;1670;1710
Holy See;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;2154;2110;1878;1863;1858;2249;2361;2453;2446;2405;2407;2460;2478;2593;2369;2353;2460;2490;2483;2461;2526;2501;2551;2549;2583;2703;2756;2805;2864;2781;2771;2778;2775;2803;3089;3061;3266;3488;3700;3738;3616;3557;3373;3233;3241;3261;3170;3240;3288;3304;3205;3219;3308;3423;3293;3344;3385;3475;3500;3362;3483;3505;3563;3651;3801;3952;4128;4297;4391;4200;4270;4345;4131;4154;4214;4270
Hong Kong, China;2958;2997;3037;3077;3118;3160;3202;3246;3290;3335;3381;3494;3615;3736;3864;3997;4135;4276;4424;4576;4736;4900;5515;6164;6530;7280;7340;7278;7363;8065;8596;9017;9788;10755;10744;10602;12001;13230;14110;14913;16005;17086;17302;18027;19648;19539;21391;23920;25660;26186;26974;28277;29789;31097;32240;32358;32272;33636;31394;31875;34017;33956;34366;35487;38274;40923;43521;45937;46635;45390;48108;50086;50347;51656;52552;53874
Hungary;5850;5893;6199;5555;4977;4459;3994;4141;5168;5562;5893;6439;6633;6724;6914;7483;7115;7795;8317;8641;9087;9539;9939;10492;11083;11173;11809;12475;12612;12973;12917;13471;13736;14420;14746;14991;14970;15853;16199;16209;16369;16500;17122;16989;17485;17103;17493;17811;18395;18077;16930;14926;14474;14407;14852;15095;15126;15667;16365;16943;17707;18411;19292;20079;21087;22029;22938;23091;23334;21839;22062;22524;22306;22708;23609;24200
Iceland;5373;6087;7013;7387;7986;8487;8702;9451;9452;9085;8670;8350;8120;9169;9821;10548;10575;10295;10896;10865;10993;10801;11489;12447;13450;14173;15166;14734;13752;13983;14937;16687;17413;18360;19123;19023;19978;21583;22659;23523;24580;25312;25455;24594;25356;25997;27379;29335;28780;28629;28666;28272;26977;27055;27789;27671;28839;30009;31601;32521;33599;34403;34252;34938;37482;39108;39818;42598;42294;39979;38809;39619;39925;40958;41237;42182
India;1081;1079;1054;1075;1043;1007;937;924;917;922;908;908;912;947;962;963;993;959;1005;1002;1048;1051;1046;1071;1125;1053;1037;1096;1095;1141;1170;1154;1125;1151;1139;1212;1201;1266;1305;1211;1270;1322;1334;1412;1436;1462;1493;1525;1649;1723;1777;1760;1821;1871;1959;2069;2186;2235;2332;2496;2548;2628;2684;2850;3029;3262;3514;3806;3901;4177;4547;4787;4967;5244;5565;5903
Indonesia;2053;2048;1505;1336;1066;940;972;1075;1249;1363;1443;1527;1541;1587;1665;1701;1664;1779;1643;1696;1737;1791;1772;1668;1694;1682;1666;1602;1741;1920;2082;2162;2351;2637;2679;2612;2797;2946;3026;3111;3314;3445;3254;3294;3461;3489;3646;3775;3940;4234;4548;4868;5131;5412;5727;6111;6478;6683;5721;5684;5878;6005;6186;6389;6615;6892;7168;7516;7856;8108;8498;8907;9327;9729;10099;10504
Iran;3051;3134;3219;3306;3394;3485;3577;3672;3768;3867;3968;3881;3796;3717;3635;3554;3783;4211;4591;4863;5203;5505;5472;5921;6188;6768;7252;7862;8816;9709;10467;11475;13019;13782;14316;14690;16697;16033;13827;12312;10366;9691;10715;11655;11274;11047;9675;9335;8626;8753;9511;10502;10792;10500;10344;10477;11043;11216;11311;11327;11719;11977;12712;13454;13975;14452;15127;15903;15955;16123;16980;17425;16068;15552;15573;15573
Iraq;2572;2612;2653;2694;2736;2779;2822;2866;2910;2955;3001;3178;3423;4678;5410;5045;5242;5045;5465;5528;5989;6480;6599;6278;6805;7178;7306;6898;7852;7846;7555;7785;7354;8648;9508;10522;11920;11575;13210;16718;16614;13478;12681;10779;10666;10711;11057;13010;13153;11519;11212;3921;5048;6379;6420;6353;6834;8027;10490;11958;11764;11684;10567;6873;10311;10489;11271;11157;11616;11992;12330;13248;14545;15368;14018;14646
Ireland;5412;5423;5434;5444;5455;5407;5476;5559;5818;6142;6241;6417;6607;6808;6905;7147;7116;7159;7089;7409;7869;8297;8544;8899;9215;9350;9416;9933;10722;11331;11551;11850;12440;12834;13176;13703;13691;14631;15499;15734;16078;16425;16640;16502;17116;17606;17546;18385;19420;20665;22468;22770;23371;23881;25156;27439;29695;32568;34985;38122;41198;42686;44423;44998;46205;47775;49048;50001;47713;44222;43860;44913;44673;44640;46633;47758
Isle of Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Israel;2064;2334;2765;2873;2947;3031;3304;3448;3612;3782;3961;4435;4247;4075;4718;5167;5382;5557;5712;6249;6464;6915;7279;7719;8152;8630;8504;8535;9634;10562;11062;11878;12903;13110;13606;13751;13626;13324;13656;14159;14768;15245;15265;15501;15310;15542;16015;16871;16906;16743;17152;17394;17749;18244;19010;22550;23240;23544;24009;24263;25739;25167;24650;24470;25256;25891;26908;28091;28562;28419;29509;30183;30518;30927;31180;31590
Italy;6619;6434;6403;6014;5087;3957;4940;5610;5906;6050;6381;6736;7023;7421;7710;8117;8420;8816;9182;9686;10276;10973;11555;12094;12343;12599;13279;13997;14929;15735;16450;16680;17160;18390;19085;18469;19699;20050;20882;22146;22861;23113;23385;23664;24842;25646;26242;27304;28879;30152;30746;31198;31437;31149;31813;32731;33143;33733;34269;34798;36073;36692;36729;36622;36962;37130;37761;38125;37475;35260;35753;35901;34813;33827;33078;33297
Jamaica;1923;1928;1933;2297;2597;2937;3321;3052;2928;2808;2693;2872;3064;3449;3795;4132;4483;5057;5041;5214;5447;5549;5591;5663;5965;6304;6424;6522;6734;7132;7880;7769;7862;8398;7929;7782;7196;6952;6912;6688;6243;6310;6268;6375;6288;5969;6041;6481;6641;7056;7391;7697;7792;8463;8514;8644;8531;8354;8086;8115;8139;8197;8349;8500;8651;8803;8954;9047;8951;8526;8370;8485;8521;8607;8462;8606
Japan;3888;3877;3796;3792;3567;1802;1930;2055;2297;2392;2549;2728;3015;3168;3280;3464;3646;3843;3996;4288;4756;5276;5686;6106;6741;7048;7724;8454;9439;10548;14203;14673;15694;16731;16320;16632;17117;17705;18484;19346;19741;20413;20951;21446;22268;23554;24116;25018;26724;28077;29550;30437;30610;30587;30746;31224;31958;32391;31656;31535;32193;32230;32248;32721;33483;33916;34468;35183;34800;32880;34404;34316;34988;35614;35635;36162
Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;2620;2661;2703;2745;2788;2832;2876;2920;2965;3010;3056;3120;3180;3241;3301;3005;3961;3900;4119;4247;4330;4994;4876;4935;5556;5937;5855;5711;4994;5182;4478;4421;4401;4462;4681;4824;5781;5941;6939;7313;8357;8397;8657;8493;8884;8859;9318;9244;8844;7637;7057;6426;7242;7242;7312;7516;7443;7481;7503;7566;7695;7903;8160;8292;8788;9293;9818;10386;10897;11243;11256;11292;11340;11405;11496;11752
Kazakhstan;4485;4404;4324;4245;4168;4092;4018;4467;5050;5519;5982;5910;6189;6353;6554;6994;7533;7558;7988;7763;8353;8680;8775;8450;9418;9836;10202;10546;11059;11115;11864;12067;12021;12914;13052;12857;13224;13301;13402;13115;12914;12816;12913;13100;13032;12922;13222;13166;13225;13242;12729;11258;10669;9751;8647;8079;8243;8517;8500;8813;9706;11035;12116;13198;14365;15619;17109;18419;18797;18527;19601;20772;21506;22470;23092;23468
Kenya;1643;1657;1672;1686;1700;1715;1730;1745;1760;1775;1790;2046;1877;1745;1838;1892;1934;1963;1913;1797;1887;1765;1852;1872;1922;1952;2114;2133;2064;2124;1948;2002;2029;2059;2082;2000;2004;2109;2214;2212;2249;2246;2242;2188;2144;2155;2226;2275;2332;2359;2376;2332;2239;2177;2168;2199;2227;2179;2194;2187;2143;2166;2120;2124;2173;2240;2319;2416;2358;2371;2503;2585;2631;2706;2776;2898
Kiribati;1323;1362;1402;1443;1485;1528;1573;1619;1666;1715;1765;1816;1869;1924;1980;2038;2097;2158;2221;2286;2353;2422;2492;2565;2639;2716;2796;2877;2961;3047;3136;2998;3295;3913;5582;5764;4131;3850;3798;3275;1774;1669;1792;1574;1651;1531;1510;1421;1633;1455;1453;1365;1388;1418;1468;1434;1500;1559;1702;1676;1804;1785;1763;1801;1826;1792;1683;1782;1803;1765;1729;1750;1772;1796;1822;1824
North Korea;1418;1438;1429;1450;1386;650;662;703;761;822;868;729;784;1018;1080;1146;1208;1322;1498;1452;1544;1624;1592;1577;1592;1630;1616;1646;1673;1643;1697;1699;1730;1751;1782;1844;1851;1884;1809;2015;1887;2073;2180;2138;2205;2121;2106;2142;2198;2257;2076;1973;1745;1619;1605;1442;1393;1230;1267;1377;1287;1368;1375;1405;1410;1464;1461;1392;1427;1407;1393;1397;1393;1392;1391;1390
South Korea;1322;1340;1331;1349;1289;605;616;654;707;764;807;753;809;1051;1070;1139;1130;1226;1233;1212;1178;1201;1182;1305;1380;1416;1563;1621;1774;1998;2142;2427;2760;3326;3673;4108;4614;4964;5373;5505;4899;5159;5483;6078;6612;6970;7996;9096;10233;11002;12087;13130;13744;14466;15577;16798;17835;18687;17493;19233;20757;21536;23008;23566;24628;25541;26734;28063;28650;28716;30440;31327;31901;32684;33629;34644
United Korea (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15393;10929;7666;5429;5166;5403;5762;6137;5604;4353;4648;5898;5853;6198;6356;6735;6982;7431;7566;7756;7949;8227;8387;8613;8810;9021
Kuwait;1538;1552;1566;1581;1595;1610;1625;2091;2692;3466;4462;5745;7395;9521;10545;11679;12935;14325;15866;17572;19461;21554;23871;26437;29279;32427;35912;39772;44047;48781;54023;63583;62371;59388;115159;91796;92442;87987;81146;109863;108146;85525;67708;65168;63619;58143;42858;47974;40807;46363;37521;18820;50924;69683;75577;82268;82811;82227;80971;75316;75219;72922;72630;82466;88010;92665;94642;94915;91966;81025;75365;79102;81080;79395;83394;82633
Kyrgyz Republic;1902;1937;1974;2011;2049;2087;2126;2166;2207;2248;2290;2335;2381;2428;2476;2524;2574;2624;2676;2728;2782;2836;2892;2948;3006;3065;3125;3186;3249;3312;3377;3443;3510;3579;3573;3567;3561;3555;3549;3542;3536;3530;3524;3518;3512;3506;3499;3493;3487;3481;3475;3150;2681;2266;1812;1696;1790;1939;1950;1991;2075;2164;2144;2271;2401;2370;2418;2599;2791;2837;2790;2921;2870;3121;3169;3245
Lao;1123;1124;1125;1126;1127;1129;1130;1131;1132;1133;1134;1146;1158;1170;1181;1192;1201;1211;1221;1230;1239;1249;1259;1269;1280;1290;1301;1312;1323;1334;1346;1357;1369;1380;1390;1400;1435;1462;1486;1521;1553;1578;1589;1597;1605;1616;1618;1619;1620;1621;1622;1644;1686;1736;1828;1908;1993;2084;2123;2237;2327;2424;2533;2651;2780;2930;3126;3298;3483;3668;3901;4133;4381;4667;4925;5212
Latvia;2954;2899;2845;2792;2740;2689;2639;2932;3313;3619;3921;3872;4053;4158;4288;4574;4924;4938;5217;5068;5450;5661;5720;5506;6134;6403;6639;6859;7190;7222;7706;7834;7801;8376;8712;9235;9629;9810;10003;10481;10844;11237;11434;11957;12572;12448;12959;13182;13770;14466;13383;11735;8057;7792;8081;8110;8408;9238;9912;10208;10859;11787;12782;14020;15437;17192;19367;21438;20977;18300;18148;19405;20597;21699;22460;23282
Lebanon;5669;5865;6066;6271;6481;6696;6915;7140;7369;7603;7842;6946;7284;8274;9368;9980;9610;9638;8150;8710;8805;9242;9446;9370;9767;10545;11047;10320;11391;11422;11978;12871;14207;14597;14773;10242;4303;7403;7589;8585;9098;9165;5811;7026;10182;12739;12021;14077;10186;5891;7734;10497;10699;11136;11729;12254;12726;12347;12703;12475;12335;12356;12199;11998;12348;12258;12171;13122;14158;15393;16263;16431;16633;16623;16794;17050
Lesotho;423;423;423;423;424;424;424;424;424;424;424;442;448;458;476;483;493;503;513;518;546;541;613;669;711;708;707;767;748;741;742;659;768;949;984;882;1002;1149;1339;1162;1100;1081;1090;1079;1101;1113;1144;1124;1202;1248;1301;1326;1395;1413;1461;1466;1520;1563;1572;1563;1629;1684;1680;1747;1775;1810;1873;1947;2041;2091;2235;2301;2390;2473;2494;2598
