Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Abkhazia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;448.55;447.52;446.49;446.8;445.76;444.73;443.7;442.66;441.63;440.59;439.56;435.9;426.11;416.55;407.2;398.07;389.13;380.4;374.1;368.1;362.4;356.5;350.6;345;339.7;334.1;328.7;323.3;318.1;313;307.8;302.1;296.4;290.8;284.9;279.4;273.6;267.8;261.6;255.5;249.1;242.7;236.2;229.7;222.9;216;209.2;202.1;195;187.8;181;174.2;167.8;162;156.8;152.3;148.6;145.5;142.6;139.9;137;133.8;130.3;126.8;123.2;119.6;116.3;113.2;110.4;107.6;105;102.3;99.5;96.7;93.9;91.1
Akrotiri and Dhekelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;244.61;235.96;227.48;219.16;211;203;195.16;187.45;179.89;172.44;165.17;161.7;158.3;154.97;151.71;148.52;145.4;142.34;139.35;136.42;133.55;130.74;127.99;125.3;122.67;120.09;117.56;115.09;112.67;110.3;107.98;105.71;103.49;101.31;99.18;97.1;95.06;93.06;91.1;84.7;78.6;73;67.8;62.8;58.3;54.3;50.7;47.6;44.9;42.5;40.6;38.8;37.3;36;34.6;33.2;31.8;30.3;28.9;27.5;26.2;24.9;23.6;22.5;21.5;20.5;19.5;18.7;17.9;17.3;16.6;16;15.5;14.9;14.4;14
Algeria;368.61;364.38;363.59;362.81;362.02;349.31;337.04;325.2;313.78;302.76;292.13;281.87;271.97;262.42;253.2;251.6;250.1;249;247.7;246.4;245.7;245.9;246.3;246.7;247.3;248.2;248.9;248.9;248;245.8;242.2;237.3;230.9;223.4;214.9;205.5;195.7;185.1;173.9;161.7;148;132.6;115.9;98.9;83.6;71.2;61.9;55.3;51.2;48.6;46.9;45.8;45;44.2;43.5;42.6;41.8;41.2;40.7;40.2;39.7;38.9;37.8;36.5;35.1;33.6;32.1;30.7;29.5;28.4;27.4;26.6;25.8;25.2;24.6;24
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.5;7.9;7.4;6.9;6.4;6;5.7;5.3;5;4.8;4.6;4.4;4.2;4.1;4;3.9;3.7;3.6;3.5;3.4;3.3;3.2;3.1;3;2.9;2.8
Angola;442.94;439.3;435.67;432.05;427.15;423.59;420.07;416.56;411.81;408.33;404.92;401.53;395.72;389.48;382.83;375.72;368.3;360.45;352.25;344.18;336.18;328.34;320.56;312.85;305.2;297.55;289.99;282.4;275.28;268.59;262.29;259.32;256.39;253.49;250.63;247.79;244.99;242.22;239.48;236.78;234.1;232.8;231.5;230.2;229.1;228.3;227.5;226.9;226.5;226.2;226;225.9;226;225.8;225.5;224.8;224;222.6;220.8;218.9;216.7;214.1;211.7;209.2;206.7;203.9;200.5;196.4;192;187.3;182.5;177.3;172.2;167.1;162.2;156.9
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;151.97;149.7;147.46;145.25;143.06;140.9;138.76;136.65;134.56;132.5;130.47;127.2;122.71;118.18;113.6;109;104.97;100.34;95.72;91.26;87.45;83.25;79.65;76.18;72.78;69.91;66.69;63.53;60.97;58.16;55.87;53.73;51.35;49.44;47.58;45.77;43.98;42.22;40.83;39.16;37.53;36.01;34.55;33.16;31.83;30.54;29.32;28.14;27.01;25.93;25.5;24.2;23.1;21.9;20.8;19.7;18.8;17.9;17;16.2;15.5;14.8;14.1;13.5;12.9;12.4;11.8;11.3;10.9;10.4;9.9;9.5;9.1;8.7;8.4;8.1
Argentina;131.14;122.32;124.07;113.66;115.37;117.1;103.47;110.22;95.18;91.93;93.53;91.92;88.72;85.66;81.15;84.17;76.5;93.51;82.65;77.78;73.2;68.9;64.84;61.02;57.43;57.43;58.63;58.52;58.32;73.2;72.4;71.5;70.4;68.8;66.6;63.8;60.2;55.9;51.4;47;43.1;40;37.6;35.8;34.4;33.1;31.9;30.8;29.7;28.6;27.6;26.6;25.7;24.8;24.1;23.4;22.7;22;21.4;20.8;20.2;19.7;19.2;18.6;17.9;17.1;16.4;15.8;15.4;15;14.6;14.2;13.8;13.3;12.9;12.5
Armenia;157.91;152.24;146.78;141.52;136.45;131.55;126.84;122.29;117.9;113.68;109.6;108.04;105.22;102.27;99.28;95.57;92.43;89.22;85.95;82.78;79.1;76.08;73.11;69.69;66.85;63.58;60.86;63.13;65.49;67.93;70.47;73.1;75.83;78.66;81.59;84.64;87.8;84.3;81;77.8;74.8;71.8;69.1;66.4;63.8;61.4;59;56.6;81.6;52;49.7;47.4;45.1;42.8;40.6;38.6;36.7;34.9;33.2;31.6;30.1;28.6;27.2;25.9;24.6;23.3;22.2;21.1;20;19;18;17.2;16.3;15.5;14.9;14.2
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.34;25.4;24.6;23.96;23.48;23.14;22.91;22.76;22.62;22.5;22.36;22.23;22.1;22;21.91;21.83;21.76;21.68;21.6;21.49;21.35;21.15;20.89;20.57;20.2;19.8;19.37;18.95;18.55;18.18;17.84;17.55;17.28;17.03;16.8;16.57
Australia;51.02;53.41;52.42;51.21;42.21;38.68;39.3;36.52;34.65;32.2;31.6;31;30.3;29.5;28.7;28;27.3;26.6;26;25.4;24.8;24.3;23.7;23.2;22.7;22.4;22.1;22;21.9;21.7;21.4;20.9;20.2;19.4;18.4;17.3;16.2;15.3;14.4;13.6;13;12.5;12.2;11.9;11.6;11.3;11;10.6;10.2;9.7;9.2;8.6;8.1;7.7;7.3;7;6.8;6.6;6.5;6.4;6.2;6.1;6;5.9;5.9;5.7;5.6;5.4;5.2;5;4.8;4.5;4.2;4;3.7;3.5
Austria;103.53;96.88;103.53;112;127.65;263.54;115.43;104.5;92.09;86.87;75.32;69.81;59.54;56.57;54.9;53.3;51.7;49.9;47.8;45.5;42.9;40.2;37.9;35.9;34.2;32.7;31.5;30.5;29.8;29.3;29;28.7;28;26.8;25.1;23.1;21.1;19.4;18.1;17.1;16.3;15.5;14.8;14.1;13.3;12.6;11.8;11.1;10.5;10;9.5;9;8.5;8;7.4;6.8;6.4;6;5.8;5.6;5.5;5.4;5.3;5.2;5;4.9;4.8;4.6;4.6;4.5;4.4;4.2;4;3.9;3.7;3.5
Azerbaijan;182.7;178.27;173.95;169.76;165.67;161.68;157.79;153.98;150.27;146.65;143.12;141.34;137.45;134.14;130.7;127.13;123.48;119.71;115.86;112.09;108.36;104.74;100.56;97.06;93.61;90.2;86.86;83.54;80.41;77.44;75.11;72.93;71.36;74.39;77.55;80.85;84.29;87.87;91.6;95.5;120.86;120.54;108.2;105.7;103.3;101.1;99;97.2;95.8;94.9;94.7;95;95.4;95.7;95.5;94.3;92.1;88.6;84.2;79.3;74;68.8;63.8;59.3;55.2;51.7;48.6;45.8;43.3;41;39;37.3;35.7;34.2;32.9;31.7
Bahamas;139.87;138.66;137.46;136.28;135.1;133.93;132.78;131.63;130.49;129.37;128.25;126.56;123.51;120.35;117.08;113.69;110.25;106.7;103.09;90.93;80.21;70.75;62.41;55.05;48.56;42.84;37.79;33.33;29.4;30;30.6;31.2;31.7;32.1;32.2;32.2;31.9;31.5;31;30.5;29.9;29.4;28.9;28.6;28.2;27.9;27.3;26.5;25.6;24.6;23.5;22.5;21.6;20.6;19.6;18.7;17.8;17;16.4;15.9;15.7;15.5;15.5;15.4;15.4;15.3;15.1;14.8;14.5;14.2;13.9;13.5;13.2;12.8;12.4;12.1
Bahrain;358.32;349.59;339.9;331.45;323.16;315.02;305.99;305.98;305.97;305.96;305.95;305.94;305.93;305.92;305.91;305.9;281.4;258.6;237.8;218.3;200;183.1;167.2;152.6;138.9;126.3;114.7;104;94.1;85;76.8;69.3;62.7;56.9;51.8;47.4;43.6;40.2;37.2;34.6;32.3;30.3;28.6;27.2;25.9;24.9;24.2;23.6;23.3;23.2;23;22.7;22;21;19.6;18.1;16.6;15.2;14.1;13.2;12.6;12.1;11.8;11.5;11.2;10.9;10.5;10;9.4;8.8;8.3;7.8;7.3;6.9;6.5;6.2
Bangladesh;342.84;334.36;336.41;338.48;340.56;342.65;344.75;346.87;349;351.14;353.3;342.9;332.7;322.9;313.1;304.1;295.4;287.1;279.1;271.5;264.3;257.5;251.3;245.6;240.4;236;232.3;229.4;227.1;225.4;224.1;223;222;220.7;219.1;217.1;214.5;211.2;207.4;203.3;198.9;194.2;189.4;184.4;179.1;173.5;167.7;161.8;155.8;149.7;143.7;137.7;131.7;125.8;119.9;114.2;108.6;103.2;97.9;92.8;88;83.5;79;74.8;70.7;66.8;63;59.4;55.9;52.6;49.6;46.7;44;41.6;39.5;37.6
Barbados;293.96;365.86;285.8;268.22;279.25;241.99;261.66;271.65;251.22;204.75;197.23;218.02;234.91;223.75;168.8;145.5;126.4;111.2;99.5;90.6;83.6;78;73.2;68.7;64.7;61.3;58.2;55.5;53;50.5;48.1;45.8;43.4;41.1;38.9;36.7;34.6;32.6;30.6;28.9;27.2;25.8;24.6;23.6;22.8;22;21.2;20.4;19.5;18.7;17.9;17.2;16.6;16.1;15.7;15.5;15.4;15.5;15.7;16;16.3;16.6;16.8;16.8;16.7;16.5;16.2;15.8;15.4;15.1;14.7;14.4;14.1;13.7;13.3;13
Belarus;130.94;127.12;122.67;118.28;113.99;110.4;106.25;102.16;98.13;94.81;91.06;87.46;84;80.67;77.48;74.42;71.47;68.64;65.93;63.32;46.42;39.53;40.24;40.64;33.42;29.77;28.91;27.28;26.82;25.85;27.88;23.51;23.15;23.06;22.72;25.41;24.64;23.79;24.38;22.73;23.3;22.2;21.3;20.6;20;19.4;18.8;18.1;17.4;16.9;16.6;16.6;16.8;17.1;17.5;17.9;18;17.8;17;15.8;14.4;13;11.8;10.9;10.1;9.4;8.7;7.9;7.2;6.6;6.1;5.6;5.2;4.9;4.6;4.4
Belgium;106.74;103.62;103.54;97.67;101.87;118.2;94.02;77.85;67.76;63.74;59.32;55.94;51.25;51.2;48.3;45.5;42.8;40.1;37.7;35.6;33.9;32.4;31.1;30;28.9;27.9;27;26.2;25.5;24.8;24;23;21.9;20.8;19.6;18.6;17.6;16.7;15.9;15.2;14.5;13.9;13.3;12.7;12.2;11.8;11.4;11;10.7;10.3;10;9.6;9.2;8.7;8.2;7.6;7.1;6.7;6.3;6;5.8;5.6;5.4;5.2;5.1;5;4.9;4.8;4.7;4.6;4.5;4.4;4.4;4.3;4.2;4.1
Belize;172.35;171.17;170.01;168.85;167.7;166.56;165.43;164.3;163.18;162.07;160.97;158.35;154.27;149.32;144.98;139.82;135.27;129.97;125.25;120.66;115.52;114.7;113.88;113.08;112.27;111.48;110.69;109.9;105.5;101.3;97.3;93.5;89.7;86.3;83;79.9;77;74.2;71.4;68.9;66.4;63.9;61.4;58.9;56.2;53.5;50.6;47.7;44.9;42.2;39.6;37.2;35;33.1;31.5;30.1;28.8;27.8;26.7;25.8;25;24.2;23.5;22.8;22.2;21.7;21.2;20.6;20.1;19.5;19;18.5;18;17.5;17;16.5
Benin;397.04;391.87;386.76;381.71;376.73;365.3;361.4;358;354.5;351.3;348.2;345.1;342.1;339;335.9;332.7;329.5;326.2;322.5;318.4;314;309.2;303.9;298.2;292.5;286.9;281.4;276.9;272.8;269;265.5;261.8;257.8;253.4;248.3;242.7;237;231.3;226.1;221.5;217.4;213.7;210.2;206.8;203.3;199.7;196.1;192.2;188.1;183.9;179.5;175;170.4;166.2;162.4;159.1;156.2;153.6;150.9;147.9;144.7;141.1;137.1;133.1;129.2;125.5;122.1;119;116.3;113.9;111.6;109.3;107;104.8;102.1;99.5
Bermuda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;411.18;410.74;410.3;409.86;409.42;408.99;408.55;408.11;407.68;407.24;406.81;403.18;398.42;391.99;385.1;379;371.31;363.27;354.87;347.3;339.89;332.63;325.53;318.58;311.78;305.13;298.61;292.24;286;278.6;271.5;264.2;256.7;249.5;242.4;235.5;228.4;221.3;214.1;206.9;199.8;193;185.9;178.9;172.1;165.2;158.8;152.2;145.9;139.8;133.7;127.8;122;116.4;110.8;105.3;99.8;94.5;89.4;84.4;79.6;75;70.6;66.4;62.3;58.5;54.8;51.3;48.1;45.1;42.3;39.9;37.8;36;34.4;32.9
Bolivia;362.15;353.08;344.16;335.4;327.86;319.41;317.15;314.91;312.68;310.46;308.27;306.08;303.91;301.76;299.62;297.5;295.39;293.3;291.22;289.15;287.1;281.4;276.1;270.8;265.4;260.1;254.5;248.8;243;237.1;231.3;225.3;219.1;212.8;206.4;200.1;193.9;187.9;182.1;176.6;171.6;166.8;162.3;157.8;153.2;148.5;143.8;138.9;134;129.2;124.4;119.7;115.2;110.7;106.2;101.8;97.5;93.1;88.7;84.4;80.2;76.2;72.2;68.5;64.8;61.4;58.1;54.9;52;49.3;47;44.9;43.1;41.3;39.8;38.4
Bosnia and Herzegovina;237.14;232.09;226.2;221.28;215.19;210.05;204.98;199.17;194.27;188.65;183.91;180.69;177.53;174.42;171.36;168.36;165.41;162.51;159.67;156.87;154.12;143.91;134.38;125.47;117.16;109.4;102.15;95.38;89.06;83.16;77.65;71.87;66.52;61.58;56.99;52.75;48.83;45.2;41.83;38.72;34.43;32.42;30.42;28.42;29.4;27.1;24.9;23;21.2;19.7;18.3;17.1;18.4;18.4;15.6;15.2;12.5;11.6;10.7;9.9;9.1;8.6;8.3;8.1;8.1;8.2;8.3;8.2;8.1;7.8;7.5;7.2;6.9;6.6;6.3;6
Botswana;355.45;354.28;353.1;351.93;350.76;331.89;314.04;297.15;281.17;266.05;251.74;238.2;225.39;213.27;201.8;196.1;190.9;185.5;180.6;175.4;170.6;165.7;161.3;157;152.8;148.7;144.7;140.6;136.5;132.2;127.7;123.1;118.1;113.1;107.8;102.4;96.9;91.2;85.8;80.5;75.5;70.8;66.6;62.8;59.3;56.4;54;52;50.8;50.3;50.7;51.8;53.3;55.4;57.9;60.6;63.2;65.5;67.7;70.4;71.5;71.1;70.4;70.3;69.9;65.6;62.7;64;63.8;62.1;60.3;59.6;57.6;55.5;54.6;53.3
Brazil;324.74;311.25;299.14;287.32;274.85;263.64;256.21;248.99;241.98;235.16;228.53;222.09;215.84;209.75;203.84;198.1;192.5;187;181.7;176.7;171.8;167.1;162.5;158.2;154.2;150.6;147.2;143.9;140.7;137.3;133.7;130.1;126.4;122.7;119.1;115.6;111.9;108.2;104.2;100;95.6;91.1;86.8;82.6;78.8;75.3;72.1;69.1;66.3;63.7;61.1;58.5;55.7;52.8;49.8;46.7;43.6;40.6;37.7;35;32.4;30.1;27.9;25.9;24.1;22.5;21;19.7;18.6;17.6;16.7;15.9;15.1;14.4;13.8;13.3
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei;205.85;199.48;193.23;187.1;181.05;175.06;169.21;163.46;157.79;152.21;146.75;144.22;139.6;134.85;129.35;124.48;119.53;114.55;109.54;104.66;99.91;95.25;90.75;86.89;83.12;79.42;76.33;72.75;69.88;67.14;64.55;62.1;59.75;52.13;45.48;39.68;34.62;30.2;26.35;22.99;28.09;17.5;16.8;16.1;15.4;14.8;14.1;13.5;13;12.6;12.2;11.9;11.6;11.3;10.9;10.6;10.3;10;9.8;9.6;9.5;9.3;9.3;9.2;9.1;9;9;9;9;9.1;9.3;9.5;9.8;10;10.2;10.3
Bulgaria;197.06;199.78;202.53;205.32;208.15;211.02;213.92;216.87;200.12;178.99;148.18;155.76;156.13;121.1;125.6;126.94;109.17;100.1;79.27;83.17;66.8;55.34;53.12;46.4;45.6;45;44.5;43.8;42.6;40.9;38.9;37.3;36.2;35.6;35;34.3;33.5;32.5;31.2;30;28.7;27.6;26.6;25.7;24.7;23.6;22.5;21.8;21.4;21.5;22.1;22.6;22.9;23;23.1;23.2;23.2;23.1;22.7;22;21.1;20.1;19.1;18.1;17;15.9;15;14.3;13.7;13.3;13;12.6;12.1;11.6;11.1;10.7
Burkina Faso;416.12;413.4;410.7;408.01;399.1;397.8;396.5;395;393.2;391.7;389.7;387;384.1;380.4;376.5;372.3;367.5;363.1;358;352.3;347.6;343.1;338.7;334.5;331;328;325.2;322.9;321.4;320.1;319.1;317.3;313.9;307.9;299.2;288.5;277;265.7;255.8;247.8;241.2;236.1;231.8;227.8;223.7;219.2;214.4;209.6;205.8;203.4;202.2;201.8;202.1;202;201.1;199.4;197;194;191.3;188.5;185.7;182.4;178.3;173.1;166.3;158.3;149.4;139.9;130.4;121.4;113.5;106.9;101.4;96.6;92.4;88.6
Burundi;383.38;382.2;381;379.82;378.63;377.45;360.3;343.75;327.73;313.22;305.71;298.37;291.21;284.23;277.41;270.75;264.25;257.91;251.73;245.69;244.57;243.56;242.55;241.83;241.6;243;244.5;245.8;246.7;247.3;247.6;247.5;247.3;247.1;246.9;246.5;245;242;236.9;230.2;221.8;212.3;202.3;192.6;184.2;177.5;172.9;170.6;170.1;170.7;171.8;172.9;173.5;173.5;172.5;170.5;167.7;164.4;160.5;156.4;152.2;147.8;143.2;138.3;133;127.1;120.9;114.5;108.6;103.5;98.8;94.9;91.2;87.8;84.6;81.7
Cambodia;346.69;345.83;344.97;344.1;343.24;342.38;330.74;320.44;309.3;299.44;288.78;287.06;283.41;280.4;277.04;274.27;271.16;267.71;263.9;260.13;256.38;252.61;247.97;243.33;238.67;234.01;232.31;230.62;228.95;227.29;225.64;240.44;256.21;273.01;290.92;310;285.6;261.9;235.9;207.8;181.4;159.1;142;130.4;124.1;121.2;119.6;118.4;117.6;117.4;117.3;117.4;117.8;118.6;120;121.5;122.6;122.5;120.4;115.7;108.3;98.7;88.3;78.8;71.3;65.4;60.4;55.8;51.5;47.3;43.1;39.3;35.8;32.9;30.6;28.7
Cameroon;421.83;420.82;419.81;418.8;417.8;411.45;405.19;399.03;392.97;387;381.11;375.32;369.62;364;349.6;335.6;322.8;310.6;299.5;289.8;281.9;275.6;270.7;267;262.8;257.6;250.7;242.1;232.4;222.4;212.8;204.5;198.2;194;191.9;191;190.7;190.1;188.6;185.8;181.9;176.5;170.2;163.4;156.4;149.8;144.2;139.8;136.9;135.8;136.2;138.2;140.9;144;147.1;150;152.2;153.5;153.6;152.3;149.2;144.9;139.8;134.7;129.7;125.3;121.2;117.6;113.8;109.9;106;102.2;98.7;95.2;91.7;88.7
Canada;77.01;79.81;72.35;69.4;67.92;60.6;60.52;59.16;53.24;51.3;48.7;46.2;43.9;41.8;39.9;38.3;37;35.8;34.7;33.7;32.6;31.6;30.5;29.4;28.2;27.1;26;25;23.9;23;22;21;19.9;19;18;17;16;15.1;14.2;13.3;12.5;11.8;11.2;10.6;10.1;9.7;9.4;9.1;8.8;8.6;8.3;8;7.7;7.4;7.2;6.9;6.7;6.5;6.4;6.3;6.2;6.2;6.2;6.1;6.1;6.1;6;5.9;5.8;5.7;5.6;5.4;5.3;5.2;5;4.9
Cape Verde;311.12;301.26;291.59;281.13;271.84;262.74;252.88;244.13;235.55;226.26;218.01;216.69;215.37;213.79;211.11;208.99;206.61;203.15;200.24;197.35;195.44;193.56;191.69;189.84;188;186.19;184.39;182.61;180.85;179.1;164.3;150.7;138.5;127.6;118;109.5;102.3;96.3;91.4;87.7;85.2;83.7;82.6;81.6;80.2;78;75.1;71.8;68.2;65.1;62.8;61.2;60.3;59.6;58.6;56.6;53.5;49.3;44.3;39.4;35.2;31.8;29.5;28.3;27.7;27.7;28;28.3;28.4;28.3;27.9;27.3;26.6;25.9;25.1;24.3
Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;420.66;420.33;419.99;419.66;419.32;418.98;418.64;409.49;401.7;392.78;381.22;370;359.11;348.53;338.27;328.31;318.64;309.25;300.14;291.3;285.8;280.2;274.1;268;261.6;254.7;247.7;240.8;234.2;228.1;222.3;216.7;211.7;207.1;203;199.1;195.5;192.1;188.7;185.8;183.3;181.1;179.6;178.5;177.8;177.4;177.2;176.9;176.7;176.5;176.3;175.9;175.8;175.9;176.2;176.6;177;176.9;176.4;175.7;174.8;173.4;172;170.5;168.5;166.5;164.2;161.7;158.8;155;150.9;146.6;142.3;138.6;134.4;130.5
Chad;390;388.51;387.04;385.57;384.09;382.63;370.79;358.11;346.85;335.84;324.05;321.77;318.45;313.75;309.71;304.3;298.54;293.46;287.1;280.8;279.02;277.25;275.49;273.75;272.01;270.28;268.57;266.86;265.17;263.48;259.62;255.96;252.3;251;249.5;248.1;246.7;245.3;243.7;242;240.1;238.1;236;233.5;230.9;228.2;225.5;222.8;220.1;217.3;214.6;212;209.4;207;204.8;202.7;200.6;198.3;195.8;193;190.2;187.3;184.6;181.9;179.4;177;174.6;171.5;168;164;160.1;156;151.6;147.1;142.9;138.7
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.13;22.39;21.67;21;20.38;19.8;19.26;18.73;18.2;17.67;17.15;16.64;16.16;15.7;15.28;14.89;14.51;14.12;13.74;13.34;12.93;12.51;12.08;11.66;11.26;10.88;10.54;10.24;9.97;9.75;9.57;9.41;9.27;9.13;9;8.87
Chile;353.14;325.58;317.45;315.84;294.57;299.5;260.48;262.19;237.3;251.81;238.67;229.78;220.97;212.7;204.72;197.04;189.65;182.54;175.69;169.1;157.3;148.5;142.3;135.8;126.8;115.9;104.5;94.1;86.2;81.7;79.6;78.4;77;74.6;70.6;64.7;57.1;48.8;41.7;36.8;33.2;30.1;27;24.6;23.1;22.4;22.1;21.9;21.4;20.4;19.1;17.7;16.4;15.1;14;13.1;12.5;12.2;12;11.5;10.9;10.3;9.8;9.5;9.3;9.1;9;8.9;8.9;8.8;8.8;8.7;8.6;8.4;8.3;8.1
China;332.42;330.86;329.3;327.76;326.22;324.69;323.16;321.64;320.13;318.63;317.13;311.71;306.39;301.16;296.02;290.96;270.32;251.14;233.32;268.45;308.99;261.86;167.82;148.14;130.77;115.43;120.8;126.42;132.3;119.1;113.3;107.7;102.1;96.5;90.9;85.2;79.8;74.6;70;65.9;62.4;59.6;57.4;55.7;54.6;54;53.7;53.7;53.9;54;53.8;53.3;52.4;51;49.3;47.5;45.6;43.6;41.5;39.3;36.9;34.3;31.6;28.9;26.3;24;21.9;20.1;18.5;17;15.7;14.5;13.4;12.3;11.4;10.7
Christmas Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cocos Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;228.05;242.79;250.03;255.34;251.83;244.68;242.86;224.41;216.95;213.22;194.44;186.92;170;186.94;175.96;165.62;155.89;146.73;138.11;130;127.3;124.6;122;119.4;116.7;114;111.1;108;104.6;101.1;97.6;94;90.4;86.7;82.8;78.7;74.3;69.9;65.5;61.3;57.4;53.7;50.3;47.3;44.6;42.3;40.3;38.7;37.4;36.2;35.1;34.1;33.1;32.1;31;30;28.9;27.9;26.9;26;25.1;24.3;23.6;22.9;22.2;21.5;20.9;20.3;19.7;19.1;18.5;18;17.4;16.9;16.4;15.9
Comoros;379.92;378.97;378.04;377.1;376.15;375.22;356.11;337.66;319.86;302.69;286.06;289.84;293.68;297.56;301.5;305.48;309.53;313.62;317.77;321.97;326.23;313.2;300.7;288.69;277.16;266.1;255.47;245.27;235.48;226.07;227.1;221.8;217.1;212.4;207.7;202.7;197.7;192.3;186.8;181.1;175.3;169.4;163.6;157.9;152.4;147.2;142.2;137.6;133.2;129.1;125.1;121.2;117.2;113.6;110.5;107.8;105.6;104;102.7;101.8;101.1;100.8;100.8;100.4;99.4;97.8;95.7;93.5;91.2;88.5;86;83.3;80.9;78.3;75.9;73.5
