Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Iceland;50.27;48.28;67.8;42.97;49.76;44.69;39.18;32.31;34.1;29.45;30.7;29.2;27.8;26.5;25.3;24.4;23.6;22.9;22.3;21.8;21.4;21.1;20.7;20.2;19.7;19.1;18.5;17.8;17.1;16.5;15.8;15.2;14.6;14;13.4;12.8;12.2;11.5;10.9;10.3;9.8;9.2;8.8;8.4;8;7.7;7.4;7.1;6.9;6.6;6.4;6.2;5.9;5.7;5.5;5.2;5;4.7;4.5;4.2;4;3.8;3.6;3.4;3.3;3.1;2.9;2.8;2.7;2.5;2.4;2.3;2.2;2.1;2.1;2
India;260.8;257.38;265.89;269.17;275.47;245.01;249.39;253.85;258.39;263.01;267.72;271.59;275.52;279.5;274.5;269.5;264.9;260.4;256;251.8;247.7;243.7;240;236.3;232.9;229.6;226.3;223.1;219.8;216.6;213.3;209.9;206.1;202.2;197.9;193.4;188.6;183.4;178.2;172.8;167.6;162.6;157.9;153.5;149.2;145.2;141.2;137.3;133.4;129.5;125.8;122.2;118.8;115.4;112.1;108.7;105.3;101.9;98.3;94.8;91.2;87.7;84.3;81;77.7;74.6;71.5;68.5;65.6;62.7;59.9;57.2;54.5;52.1;49.8;47.7
Indonesia;394.7;411.81;397.29;383.28;369.76;356.73;344.15;332.01;320.3;309.01;298.11;287.6;279.4;271.5;263.7;256.1;248.8;241.7;234.9;228.5;222.4;216.5;210.7;205.1;199.5;193.9;188.2;182.5;176.8;171.1;165.6;160.3;155.1;150.1;145.3;140.8;136.5;132.4;128.5;124.8;121.1;117.5;113.9;110.3;106.7;103.1;99.5;95.9;92.2;88.4;84.7;80.9;77.1;73.6;70.1;66.7;63.6;60.5;57.6;54.9;52.3;49.8;47.6;45.4;49.3;41.4;39.6;37.9;36.2;34.7;33.1;31.7;30.4;29.3;28.2;27.2
Iran;450.07;429.31;409.47;391.56;373.13;355.42;338.3;321.84;305.93;306.66;307.38;308.11;308.83;309.56;310.28;311;311.72;312.44;313.15;306.57;300.13;293.82;287.64;281.58;275.65;269.85;264.16;258.59;238.26;219.48;202.23;186.6;178.2;170.2;162;153.7;145.2;136.4;127.4;118.5;109.9;101.9;94.6;88.2;82.5;77.4;72.8;68.5;64.5;60.8;57.5;54.5;51.9;49.6;47.4;45.3;43.2;41.1;38.9;36.8;34.7;32.7;30.8;29;27.3;25.7;24.2;22.8;21.4;20.2;19.2;18.3;17.5;16.8;16.1;15.5
Iraq;389.97;387.32;577.9;545.3;515.2;486.5;459.8;434.4;410.2;386.8;364.3;343.1;322.4;303.1;284.5;267;250.6;235.3;221.1;207.9;195.7;184.5;174.2;164.6;155.8;147.7;140.1;133.2;126.7;120.6;115;109.7;104.7;99.8;95.2;90.8;86.8;83;79.5;76.3;73.3;70.6;68;65.7;63.6;61.6;59.7;58.1;56.6;55.3;54.1;53;51.9;51;50;49.1;48.2;47.4;46.5;45.6;44.7;43.8;43;42.3;41.5;40.7;39.9;39.1;38.3;37.5;36.6;35.7;34.8;33.9;32.9;32
Ireland;90.28;103.38;95.1;118.72;111.83;98.36;88.64;93.44;59.2;56.5;54.2;51.9;49.5;47.1;44.9;43;41.3;39.7;38.2;36.8;35.3;33.9;32.5;31.3;30.1;28.6;27;25.5;24.1;23;22.2;21.7;21.4;21.1;20.6;20;19.1;18;16.8;15.5;14.3;13.3;12.4;11.7;11.1;10.7;10.4;10.1;9.9;9.6;9.2;8.6;8.1;7.7;7.4;7.3;7.3;7.3;7.3;7.3;7.1;6.9;6.5;6.1;5.6;5.2;4.9;4.6;4.5;4.3;4.2;4.1;4;3.8;3.7;3.6
Isle of Man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Israel;79.72;75.06;78.17;56.91;45.53;45.53;40.1;37.36;45.54;68.92;61.37;52.61;55.51;51.17;49.76;46.95;51.19;49.77;44.2;40.15;40.15;38.92;37.73;36.58;35.46;34.37;33.32;32.3;31.32;30.36;29.43;29.32;29.21;29.1;29.2;26.2;23.8;21.8;20.2;19;18;17.3;16.6;16;15.2;14.4;13.7;13.1;12.5;12.1;11.6;11.1;10.5;9.9;9.2;8.7;8.2;7.8;7.5;7.2;6.9;6.6;6.4;6.1;5.8;5.6;5.3;5.1;4.9;4.7;4.6;4.4;4.3;4.2;4.1;4
Italy;142.06;153.12;153.83;157.2;137.07;141.51;138.1;112.36;94.75;93.54;89.1;81.8;75.4;69.8;65.2;61.7;59.3;57.5;55.8;53.9;52;49.9;47.7;45.4;43.1;41;39.3;37.8;36.4;35.1;33.6;31.9;29.9;27.6;25.3;23.1;21.1;19.5;18.1;17;16.1;15.2;14.3;13.5;12.7;12;11.3;10.8;10.4;10;9.6;9.3;8.9;8.5;8;7.5;7;6.6;6.2;5.9;5.5;5.2;5;4.7;4.5;4.4;4.3;4.2;4.1;4.1;4;3.9;3.7;3.6;3.5;3.4
Jamaica;168.32;153.6;142.66;133.71;144.26;149.56;141.78;136.31;131.05;126.77;136.91;129.71;123;117.4;112.1;106.8;101.8;97.1;92.6;88.3;84.4;80.8;77.5;74.5;71.8;69.2;66.8;64.5;62.3;60;57.8;55.5;53.3;51.2;49.3;47.6;46;44.5;43.1;41.9;40.7;39.5;38.4;37.3;36.3;35.3;34.3;33.3;32.4;31.5;30.6;29.6;28.7;27.8;26.9;26;25.1;24.3;23.4;22.7;22;21.4;20.9;20.4;20;19.7;19.5;19.2;18.9;18.5;18.1;17.6;17.2;16.7;16.2;15.7
Japan;131.95;121.36;124.89;126.69;131.86;137.23;142.83;148.66;99.93;101.2;91.4;82.6;74.9;68.3;62.7;58.1;54;50.3;46.8;43.3;39.7;36.2;32.9;29.8;27;24.6;22.6;21;19.6;18.5;17.5;16.5;15.7;14.9;14.1;13.3;12.5;11.8;11.1;10.5;9.9;9.3;8.8;8.3;7.9;7.5;7.1;6.8;6.6;6.4;6.3;6.2;6.1;6;5.9;5.7;5.5;5.2;5;4.7;4.5;4.3;4.1;4;3.9;3.7;3.6;3.5;3.4;3.3;3.2;3.4;3;2.9;2.8;2.7
Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan;333.2;326.88;320.67;314.59;308.62;357.4;338.9;321.7;305.5;289.8;275.1;260.9;247.3;234.3;221.7;209.7;198;186.6;176;165.9;156.4;147.3;138.8;131;123.8;117.1;110.9;105.1;99.7;94.7;90.1;85.7;81.6;77.7;74.1;70.6;67.3;64.2;61.3;58.5;55.9;53.4;51;48.7;46.6;44.6;42.7;40.9;39.3;37.9;36.6;35.4;34.3;33.3;32.4;31.5;30.7;29.9;29.1;28.4;27.7;26.9;26.2;25.5;24.8;24.1;23.4;22.7;22.1;21.5;20.8;20.2;19.6;19;18.5;17.9
Kazakhstan;242.64;234.83;226.27;217.89;209.67;201.61;194.55;186.79;179.18;171.69;164.38;162.46;158.29;154.73;150.28;146.42;141.74;137.65;133.46;128.65;124.63;120.02;115.88;111.88;108.03;104.3;100.7;97.23;93.88;90.64;87.52;84.5;82.6;80.8;79.3;77.8;76.4;75;73.6;72;70.2;68.1;65.9;63.6;61.5;59.4;57.5;55.8;54.4;53.3;52.6;52.4;52.7;52.9;53.1;52.7;51.8;50.1;48.1;45.9;43.6;41.2;39;36.8;34.7;32.5;30.3;28.1;25.9;23.7;21.6;19.6;17.9;16.4;15.1;14.1
Kenya;451.57;437.92;424.68;411.84;399.39;387.32;375.61;364.25;353.24;342.56;332.2;317.55;303.5;286.9;270.8;256.1;242.3;229.9;218.3;208;198.6;190.1;182.5;176.1;170.6;165.8;161.8;158.3;154.7;151.1;147.4;143.8;140.1;136.3;132.3;128.1;123.8;119.6;115.2;110.9;107.3;103.7;100.4;97.5;95.4;94.1;93.4;93.5;94.4;95.8;97.7;99.8;102.1;104.1;105.8;106.9;107.4;107.1;106.2;104.7;102.5;99.7;96.4;92.7;88.8;84.5;80.4;76.4;71;67.2;63.6;59.8;57.1;54.5;52.3;50.6
Kiribati;271.22;270.21;269.21;268.21;267.22;266.23;265.24;264.26;263.28;262.3;261.33;258.77;253.49;248.87;241;233.38;226.01;218.86;211.94;205.25;198.76;192.48;186.39;180.5;173.5;167;160.7;154.8;149.5;144.4;140;136;132.5;129.8;127.7;126;124.8;124;123.3;122.9;122.3;121.7;120.7;119.3;117.4;114.9;111.9;108.3;104.3;100.1;96;92.2;89;86.2;83.8;81.6;79.4;77.3;75.1;72.8;70.6;68.5;66.9;65.7;65.1;64.8;64.8;64.8;64.5;63.9;62.9;61.7;60.4;58.9;57.4;55.9
North Korea;258.24;252.52;246.84;264.35;282.47;301.22;320.63;340.75;361.63;383.34;405.96;361.51;321.93;286.68;255.29;227.33;202.44;180.27;160.53;142.95;127.29;121.66;115.76;110.21;104.72;99.3;93.72;88.67;83.6;78.16;72.98;69.89;66.82;63.78;60.76;57.76;54.79;51.85;48.97;46.09;43.28;41.55;39.78;38.02;36.41;35.1;34.7;35.2;36.8;39.5;43.4;48.6;54.8;61.3;67.7;72.8;75.7;75.7;72.9;67.4;60;52;44.6;38.7;34.7;32.7;32.2;32.4;32.4;32.1;31.3;30.1;28.7;27.4;26.1;24.9
South Korea;281.63;291.01;300.7;310.72;321.06;331.74;342.78;354.18;365.96;378.13;390.7;330;279.5;238.3;205.2;179;158.5;142.7;130.4;120.8;113;106.5;100.6;95.1;89.5;83.7;77.7;71.6;65.3;59;52.8;46.7;41;35.8;31.1;27;23.5;20.4;17.9;15.9;14.3;13.1;12.2;11.4;10.6;9.9;9.3;8.6;8;7.5;7.1;6.8;6.4;6.1;5.8;5.5;5.3;5.3;5.4;5.7;6.1;6.4;6.5;6.4;6;5.6;5.2;4.8;4.5;4.3;4.1;4;3.9;3.7;3.6;3.5
United Korea (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuwait;429.83;400.07;371.88;345.14;319.7;295.42;272.23;250.1;228.91;208.62;202.88;197.29;191.86;186.58;181.44;176.44;171.59;166.86;162.27;157.8;146.9;136.6;126.9;117.9;109.1;101.1;93.7;87;81.1;75.8;70.9;66.5;62.3;58.4;54.8;51.4;48.2;45.1;42.1;39.1;36.1;33.2;30.2;27.4;25;23.1;21.7;20.6;19.6;18.8;17.9;19.9;16.3;15.7;15.2;14.7;14.2;13.8;13.3;12.9;12.7;12.5;12.3;12.1;11.9;11.7;11.6;11.5;11.3;11.1;10.8;10.3;9.9;9.4;9;8.6
Kyrgyz Republic;231.85;226.51;221.29;216.19;211.2;206.33;201.58;196.93;192.39;187.95;183.62;181.66;177.35;172.84;168.97;164.15;159.98;154.91;150.46;145.37;141.07;139.12;137.19;135.29;133.41;131.56;129.74;127.94;126.16;124.42;122.69;120.31;118.13;116.25;114.48;112.6;110;107.6;105.2;102.4;99.5;96;92.2;87.9;83.5;79.1;75;71.4;68.4;66.2;65;64.7;64.5;64.1;63;61.3;58.9;56.3;53.7;51.1;48.7;46.4;44.4;42.5;40.8;39.3;37.9;36.3;34.4;32.3;30;27.8;25.7;24;22.6;21.3
Lao;381.79;371.46;360.19;350.28;339.47;329.96;319.57;310.46;301.5;291.73;283.11;279.7;276.32;272.99;269.69;266.44;263.22;260.05;256.91;253.81;250.74;248.17;245.63;243.11;240.62;238.15;235.71;233.3;230.91;228.54;226.2;223.88;221.58;219.31;217.06;214.84;212.64;210.46;208.3;204.2;200.3;196.6;192.9;189.2;185.5;181.8;178.1;174.3;170.5;166.4;162.4;158.2;153.8;149.3;144.7;140.1;135.5;130.9;126.4;122;117.7;113.4;109.2;105.1;101.1;97.2;93.5;89.8;86.2;82.8;79.7;76.7;74;71.3;69.1;66.7
Latvia;135.89;134.83;133.77;132.01;130.98;129.95;128.92;127.9;126.88;125.86;113.61;102.56;92.58;83.57;75.44;68.1;61.47;55.49;50.09;45.22;39.03;34.65;36.5;36.97;32.12;28.18;26.62;27.4;28.63;26.95;27.14;23.8;23.4;23.3;27.15;29.35;29.1;26.02;26.89;25;24.9;24.7;24.3;23.6;22.4;21;19.6;18.6;18.3;19;20.4;22;23.2;23.8;24;23.7;22.9;21.6;20.1;18.6;17.2;16;15.1;14.3;13.4;12.5;11.8;11.1;10.5;9.9;9.4;9;8.7;8.4;8.2;7.9
Lebanon;408.19;371.35;336.91;304.62;274.22;246.48;219.36;200.21;182.74;166.79;152.23;138.94;126.81;115.74;105.64;96.42;88;85.4;82.7;80;77.4;75.1;72.9;70.9;69.1;67.6;66.3;65.2;64.2;63.4;62.7;61.9;61.2;60.5;59.6;58.6;57.4;56;54.5;52.9;51.2;49.4;47.5;45.6;43.6;41.6;39.6;37.7;35.9;34.1;32.5;31;29.6;28.3;27;25.8;24.6;23.5;22.3;21.2;20;18.8;17.6;16.4;15.2;14.1;13;12.1;11.3;10.7;10.1;9.7;9.3;8.9;8.6;8.3
Lesotho;357.88;346.08;334.66;323.63;312.95;302.63;292.65;282.99;273.66;264.63;255.9;244.35;233.3;226.2;219.4;212.9;206.9;201.5;197.2;193.8;191.5;190.2;189.7;189.7;189.7;189.5;188.8;187.1;184.5;181;177;172.9;168.5;163.9;158.8;153.3;147.4;141.2;135;128.7;122.6;116.7;111.1;105.9;101.3;97.2;93.6;90.4;87.7;85.4;83.7;82.8;82.9;84;86.4;89.6;93;96.4;99.8;102.9;106;108.6;111.2;113.8;115.8;117.3;118.3;115.6;114.2;105.7;101.5;98.5;97.5;98.9;98.4;97.1
Liberia;367.51;365.65;363.79;361.94;360.1;358.25;353.16;347.57;342.07;336.66;331.32;326.07;320.9;315.81;310.8;311.4;313.2;314.1;315;315.7;316.3;316.4;315.4;314;311.7;308.8;305.6;301.4;296.8;291.6;286.3;281.2;276.2;271.3;266.1;261.2;256.8;252.3;248.4;244.6;241.1;238;235.6;234;233.7;235;237.8;242.1;246.9;251.5;255;256.7;255.4;251.6;245.5;237.4;227.7;217.1;205.8;193.9;181.8;169.7;157.6;145.9;134.8;124.7;115.7;107.8;100.9;94.7;89.3;84.5;80.3;76.3;72.9;69.9
Libya;367.57;367.37;367.16;366.96;366.75;366.55;366.34;366.14;365.93;365.73;365.52;365.32;365.12;364.91;364.71;364.5;364.3;341.7;320.3;300.3;281.5;263.4;246.7;230.7;215.2;200.6;186.6;173.2;160.5;148.7;137.8;127.6;118.3;109.9;102.3;95.5;89.4;84;79.1;74.8;70.8;67.2;63.7;60.5;57.3;54.4;51.6;48.9;46.3;43.9;41.6;39.5;37.6;35.9;34.4;33.1;31.9;30.8;29.9;29;28.1;27.3;26.5;25.5;24.4;23.1;21.7;20.2;18.8;17.6;16.6;17.6;15.1;14.5;13.9;13.4
Liechtenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lithuania;138.04;133.41;129.57;125.77;122.04;118.34;114.06;110.47;106.98;103.5;99.07;94.83;90.77;86.89;83.17;79.61;76.2;72.94;69.82;66.83;48.54;45.3;45.25;43.42;37.22;32.28;30.33;29.9;28.9;27.4;25.4;23.5;22.8;23.5;24.6;25.1;24.9;24.4;23.9;23.3;22.5;21.8;21.2;20.6;20;19.1;18;16.8;15.8;15.5;16.5;18.4;19.8;19.7;18.4;16.6;14.8;13.5;12.8;12.3;11.8;11.3;10.9;10.6;10.3;9.9;9.4;8.8;8.2;7.4;6.8;6.1;5.5;4.9;4.4;4
Luxembourg;113.02;125.54;137.12;166.29;218.6;204.5;113.19;103.21;94.26;92.17;89.53;82.04;75.17;68.88;63.12;57.84;53;48.56;44.5;40.78;37.36;32.13;35.82;33.43;29.2;28.1;27;25.9;24.7;23.6;22.4;21.1;20;18.8;17.7;16.7;15.8;15.1;14.4;13.8;13.3;12.9;12.5;12;11.6;11.2;10.7;10.2;9.8;9.3;8.8;8.3;7.7;7.3;6.8;6.4;6;5.7;5.4;5.1;4.8;4.6;4.3;4.1;3.8;3.5;3.3;3;2.8;2.6;2.4;2.3;2.1;2;2;1.9
Macao, China;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.41;24.24;23.12;22.05;21.03;20.05;19.12;18.23;17.39;16.58;15.81;15.08;14.37;13.71;13.07;12.46;11.88;11.33;10.8;10.3;9.82;9.36;8.92;8.51;8.11;7.73;7.37;7.04;6.72;6.42;6.14;5.86;5.59;5.33;5.07;4.81
Macedonia, FYR;227.92;221.78;215.8;209.97;204.31;198.79;193.43;188.21;183.13;178.19;173.38;174.64;175.91;177.19;178.48;179.78;181.09;182.4;183.73;185.07;186.41;178.71;171.32;164.24;157.45;150.94;144.7;138.72;132.98;127.48;122.21;113.94;106.22;99.02;92.32;86.06;80.23;74.8;69.73;65.01;61.99;56.5;55;53;50.8;49.5;48.8;47.3;43.9;39.7;36.6;35;33.5;31.1;27.8;24.6;21.8;19.6;18.1;16.9;16;15.2;14.5;14.2;14;13.7;13.2;12.5;11.8;11;9.9;8.6;7.4;6.6;6;5.5
Madagascar;380.73;378.26;375.8;373.35;370.9;368.46;354.99;342.99;330.26;317.91;306.87;301.91;295.07;288.01;281.59;274.07;260.6;247.8;235.61;224.02;213;202.52;192.55;183.06;174.04;165.47;159.77;153.95;148.6;150.2;151.9;153.7;155.7;158.2;161;163.5;165.9;168;170.1;172.2;174.6;177.6;180.3;182.4;183.1;182.4;180.1;176.5;171.7;166.2;160.7;155.8;151.3;147.1;142.9;138.4;133.4;127.7;121.7;115.5;109.2;103.1;97.2;91.5;85.9;80.6;75.4;70.8;66.7;63.3;60.3;57.8;55.5;53.4;51.5;49.6
Malawi;393.67;392.03;390.4;388.77;387.14;385.52;383.91;382.31;380.71;379.12;377.53;375.95;374.38;372.81;371.25;369.7;368.15;366.61;365.07;363.54;362.02;360.5;358.7;356.7;355.2;353.5;351.4;350.1;348.3;345.8;342;336.9;330.3;322.7;314.5;305.8;296.4;286.3;275.9;265.4;256.6;249.4;245;243.7;245.2;248.2;250.4;250.2;247.4;242.5;235.9;227.8;219.6;212.3;206.4;201.9;198.2;194.6;189.9;182.7;172.8;160.7;147.5;134.9;124.5;116.5;110.5;105.8;101.1;96.5;92;85.7;78.6;72.6;68.2;65.4
Malaysia;274.23;262.12;251.22;239.67;229.28;218.26;208.37;196.56;185.43;174.93;165.02;155.67;146.85;138.53;130.69;123.28;116.3;110;104;98.3;92.8;87.8;83.1;78.8;74.7;71;67.5;64.3;61.3;58.5;55.8;53.1;50.5;47.8;45.2;42.5;40;37.4;35;32.7;30.5;28.5;26.6;24.8;23.2;21.8;20.5;19.4;18.4;17.4;16.6;15.8;15.1;14.4;13.8;13.3;12.9;12.4;11.7;11;10.2;9.5;8.9;8.5;8.3;8.1;8;8;8;8.1;8.3;8.4;8.4;8.4;8.4;8.2
Maldives;367.95;367.29;366.63;365.97;365.31;364.65;364;363.34;362.69;362.03;361.38;359.21;355.93;352.22;350.01;347.81;345.63;343.46;341.3;339.15;337.02;334.9;332.8;323.5;315;306.6;297.9;289;279.8;270.5;260.9;250.5;239.5;227.9;215.9;204.4;193.4;183;173.2;163.9;155.3;147.3;140;133.1;126.6;120.3;114.5;108.9;103.7;98.8;94.1;89.5;85.1;80.4;75.7;70.8;65.8;60.5;55.2;49.8;44.4;39.2;34.3;29.9;28.8;22.8;20.1;17.8;16;14.4;13;11.8;10.7;9.9;9.2;8.6
Mali;445.26;447.07;448.89;450.71;452.54;454.38;456.23;458.08;459.94;461.81;463.68;465.56;467.45;469.35;471.25;473.16;475.08;477.01;478.94;480.88;482.83;469.44;456.46;443.5;435.8;428.5;421.8;415.4;409.8;404.6;400;395.4;390.3;384;376.6;368.3;359.4;350.4;341.4;332.9;324.7;317;308.9;300.7;292.6;285;277.9;271.3;265.2;259.5;254.4;250;246.6;243.9;242;240;237.9;235.3;231.7;226.4;219.6;211.2;201.8;191.8;181.7;171.8;162.9;155.1;148.3;142;136.6;131.7;127;122.7;118.3;114.7
Malta;69.02;68.09;67.17;66.27;65.38;64.5;63.63;62.78;61.93;61.1;60.28;59.47;58.67;57.88;57.1;53.7;50.6;47.7;45;42.6;40.7;39.1;37.7;36.5;35.4;34.3;33.1;31.8;30.5;29.2;27.8;26.5;25.1;23.8;22.6;21.4;20.2;19.2;18.3;17.6;16.9;16.3;15.7;15.1;14.5;13.9;13.3;12.8;12.3;11.8;11.4;11;10.6;10.2;9.9;9.5;9.1;8.7;8.4;8.1;7.8;7.5;7.3;7.1;7;6.9;6.8;6.7;6.6;6.5;6.4;6.4;6.3;6.1;6;5.9
Marshall Islands;;;;;;;;;;;;;;;;;;;;134.4;129;123.7;118.6;114;109.4;105;101.1;97.3;93.7;90.5;87.5;84.7;82.4;80.4;78.7;77.3;76;74.7;73.5;72.1;70.5;68.8;66.9;64.9;62.8;60.7;58.7;56.6;54.5;52.4;50.3;48.3;46.4;44.8;43.4;42.5;41.9;41.6;41.5;41.5;41.4;41.3;41.1;40.7;40.4;40.2;39.9;39.7;39.5;39.3;39.1;38.8;38.3;37.8;37;36
Martinique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.16;29.61;28.13;26.73;25.4;24.14;22.94;21.8;20.72;19.69;18.72;17.79;16.91;16.07;15.28;14.52;13.79;13.09;12.42;11.78;11.19;10.67;10.23;9.86;9.56;9.31;9.1;8.9;8.68;8.44;8.17;7.87;7.55;7.22;6.9;6.58
Mauritania;351.7;348.2;345.2;342.1;339.3;336;332.6;329;325.1;320.9;316.4;311.4;306.3;300.7;294.8;288.8;282.7;276.2;269.6;262.8;255.9;249;242;235.2;228.5;222;215.5;208.8;202.6;197.5;193.9;191.5;190.2;189.3;188;185.5;182;178;173.4;168.6;164.1;159.5;154.9;150;144.8;139.2;133.7;128.6;124.3;120.7;118.1;116.2;114.9;114.3;113.9;113.8;113.9;113.9;113.9;113.6;113.5;113.1;112.9;112.4;111.4;109.8;107.9;105.5;103;100.4;97.8;95.4;92.7;90.2;87.5;84.7
Mauritius;263.42;214.62;265.07;227.66;225.8;305.55;233.19;175.2;302.25;132.9;106.82;120.56;115.35;138.27;115.35;128.91;135.4;121.1;111.7;105.8;102.1;98.6;93.4;87;83.6;86.4;92.7;96.1;92.7;86.9;82.9;81;79.4;76.9;72.3;65.2;57.4;50.8;46.2;42.9;40.3;37.7;34.7;31.3;28.9;28.4;29;28.8;27.1;24.9;23.1;21.8;21.2;21.2;21.6;22.2;22.7;22.6;21.6;20.2;18.6;17.1;16.1;15.6;15.6;15.7;15.9;16;15.8;15.5;15.2;14.9;14.6;14.3;13.9;13.5
Mayotte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.24;34.95;32.8;30.79;28.9;27.12;25.45;23.89;22.42;21.04;19.75;18.53;17.4;16.33;15.33;14.38;13.5;12.67;11.9;11.17;10.48;9.84;9.23;8.67;8.14;7.64;7.17;6.72;6.31;5.92;5.56;5.23;4.94;4.69;4.47;4.27
Mexico;298.55;264.6;290.64;260.99;256.44;246.5;240.33;226.42;208.78;229.21;219.37;209.96;200.95;192.32;184.07;176.17;168.61;161.37;154.44;147.82;142.94;138.26;133.78;129.7;127.3;124.6;122;119.1;115.8;112.3;108.6;104.9;101.1;97.7;94.5;91.5;88.6;85.6;82.4;78.8;75.1;71.3;67.6;64.3;61.4;58.7;56.2;53.8;51.4;49;46.6;44.1;41.7;39.4;37.2;35;33;31;29.1;27.3;25.6;24.1;22.6;21.4;20.4;19.5;18.9;18.4;17.9;17.4;16.8;16;15.3;14.5;13.8;13.2
Micronesia, Fed. Sts.;178.74;177.57;176.39;175.22;174.06;172.91;171.76;170.62;169.49;168.37;167.25;165.28;161.85;158.23;154.45;150.53;146.45;142.29;138;133.78;129.64;125.56;121.57;117.62;113.73;109.88;106.07;102.34;98.78;95.41;92.23;88.68;84.88;81.24;77.75;74.42;71.22;68.17;65.24;62.44;61.59;57.2;58;58.7;59;59;58.6;58;57.1;56.3;55.6;55.2;55;55.1;55.3;55.6;55.9;56;55.6;54.9;53.9;52.8;51.6;50.2;48.8;47.4;45.9;44.6;43.1;42;40.7;39.4;38.2;37;35.8;34.7
Moldova;174.04;169.9;165.86;161.91;158.06;154.3;150.62;147.04;143.54;140.12;136.79;134.38;131.28;127.38;124.04;120.58;117.05;113.4;109.68;106.66;103.05;99.55;95.35;91.33;87.48;83.79;80.26;76.87;73.63;70.52;67.55;64.7;62.9;61.3;59.5;57.7;56.1;54.5;53.1;51.7;50.3;48.9;47.2;45.2;43.1;40.9;38.8;36.7;34.9;33.6;33.1;33.3;34.2;35.6;37;38.2;38.5;38;36.6;34.3;31.4;28.4;25.4;22.9;20.9;19.5;18.6;18;17.6;17.3;17.1;16.9;16.7;16.4;16.1;15.8
Monaco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.1;7.8;7.4;7.1;6.8;6.5;6.2;6;5.8;5.5;5.3;5.2;5;4.8;4.7;4.6;4.5;4.4;4.3;4.2;4.1;4;3.9;3.8;3.7;3.6;3.5
